source_har,search_query,page,rank_in_page,record_kind,source_object,rc_type,content_type,content_id,uuid,title,content,content_chars,author_id,author_nickname,create_time_utc,show_time_utc,source_url,entity_data_id,dedupe_key
www.nowcoder.com.har,数据分析面经,2,1,POST,contentData,207,250,353157170986426368,3b308ddc2c1d47db888b239b2dcd89ec,猿辅导 数据分析 面经,社招 一面面经 写点面经攒点好运[面试必过][来个offer] 问简历，两个经验很细致的问一点点的问，讲的50分钟，最后还因为经历过程中有点争议，这点处理的不好 然后给了4道题做笔试 1.常规的sql,100,9709519,垚垚垚垚垚垚,2020-10-18 04:43:04 UTC,2020-10-18 04:45:47 UTC,https://www.nowcoder.com/feed/main/detail/3b308ddc2c1d47db888b239b2dcd89ec,542391,uuid:3b308ddc2c1d47db888b239b2dcd89ec
www.nowcoder.com.har,数据分析面经,2,2,POST,contentData,207,250,929182181329506304,9a8eca724b494b65944e67e836fb1add,拼多多面经 拼多多运营岗面经-03,数据分析工具（如Excel，SQL等）的熟悉程度 对多多买菜业务的未来发展有什么想法，...你会如何搭建分析框架，来系统性地探究问题根源？ 针对上述那款“滞销品”，你会制定什么样的“老品管理计划”？是建议通过大促活动清仓，还是尝试重新定位包装进行推广，或是直接淘汰？...平台出现商品缺货、断货，如何协调供应链，减少对消费者的影响 如何利用社交媒体等渠道，在下沉市场开展针对性的用户拉新活动 简单谈谈该活动的策划（注意说清核心要素） 在产品选品、品牌定位和营销推广方面的经历 如何运用数据助力商家打造爆款...25 日 说一下东南亚、美国、沙特、欧洲这些市场的区别 沙特市场的消费者有什么篇好吗（直言不太了解） 怎么看待中东市场的发展 东南亚市场的消费者有什么偏好 如何打造钩子商品 如何打造爆品 如何进行竞品分析...面经 06 面试岗位：拼多多 运营岗 ｜ 面试时间：2025 年 9 月 7 日 为什么本科选了英语专业，为什么转专业？...社区团购市场开拓，怎样吸引和增加团长数量 怎样有效管理和激励团长，提升其业绩与活跃度 讲述一次在困难状况下坚持并对,480,646661816,林小白zii,2026-09-14 17:18:15 UTC,2026-09-14 17:18:15 UTC,https://www.nowcoder.com/feed/main/detail/9a8eca724b494b65944e67e836fb1add,1675692,uuid:9a8eca724b494b65944e67e836fb1add
www.nowcoder.com.har,数据分析面经,2,3,POST,contentData,207,250,353156438564478976,0bfb3cd9c22b49dc9fd6c6149da1cded,字节跳动数据分析面经,日常实习一面 觉得凉了还是来许个愿 中午要睡觉的时候接到hr电话，约下午四点视频面 1.三到五分钟自我介绍 2.五分钟介绍简历上的项目 3.会用python sql VBA吗（讲实话VBA不好只有了解） 4.口算一道题 5.有什么问题,117,427381733,bretha,2020-05-15 08:29:54 UTC,2020-05-15 09:05:11 UTC,https://www.nowcoder.com/feed/main/detail/0bfb3cd9c22b49dc9fd6c6149da1cded,427539,uuid:0bfb3cd9c22b49dc9fd6c6149da1cded
www.nowcoder.com.har,数据分析面经,2,4,POST,contentData,207,250,364157932844449792,c84b2cb55e5a460b96629035fcaadbf9,网易数据分析面经,回馈牛客~面的是传媒技术部的数据分析，对接的是网易新闻 一面35分钟 1.简历深挖。挖得太细了，很多角度都是从未设想过的，不得不说业务做的多的人看细节真的很独到 2.机器学习相关。...随机森林、逻辑回归原理，如何做特征筛选，评价指标 3.口述三道SQL 4.一道python数据清洗的题目，屏幕共享直接写 5.反问，介绍业务，然后给我提了点二面的建议 二面 主管面20分钟 1.AB实验样本不平衡怎么办,202,188970659,你们数理基础也太扎实了吧,2022-06-08 13:13:36 UTC,2022-07-02 07:16:43 UTC,https://www.nowcoder.com/feed/main/detail/c84b2cb55e5a460b96629035fcaadbf9,966230,uuid:c84b2cb55e5a460b96629035fcaadbf9
www.nowcoder.com.har,数据分析面经,2,5,POST,contentData,207,250,353158486315966464,8bc9afb27568412caa08a9cc85831dc2,转转 数据分析 面经,数据指标体系 4. 数据分析方法 5. 假设检验 6. 部门间如何协调 7. 反问 当天晚上收到二面通知，周六不休息嘛！！！ 二面：9.12 后续随缘，有面试再进行补充~,85,354886389,牛客354886389号,2021-09-11 08:49:52 UTC,2021-09-11 13:43:18 UTC,https://www.nowcoder.com/feed/main/detail/8bc9afb27568412caa08a9cc85831dc2,740233,uuid:8bc9afb27568412caa08a9cc85831dc2
www.nowcoder.com.har,数据分析面经,2,6,POST,contentData,207,250,353157652731600896,d17ca372ae15491c859fe18facd17550,滴滴数据分析实习面经,给需要应聘数据分析的小伙伴一点参考吧...还没有消息，但是我感觉是凉了 以下是一些问题 自我介绍 指标异动分析 机器学习算法对于数据分析的应用理解 sql题，就是说了说，但是自己答的太差了 个人项目的问题，基本就是细节处理 AB test 随机森林,124,917632816,牛客917632816号,2021-03-15 08:12:16 UTC,2021-03-15 08:15:03 UTC,https://www.nowcoder.com/feed/main/detail/d17ca372ae15491c859fe18facd17550,614345,uuid:d17ca372ae15491c859fe18facd17550
www.nowcoder.com.har,数据分析面经,2,7,POST,contentData,207,250,930241772976951296,f951b3716bb44cc1a2b7fd588ab9dbbd,携程面经 携程运营岗面经-01,收获最大的是什么 介绍自己简历项目，强调数据分析的提问 为什么从上一段实习离职了 自己更喜欢哪个方向:市场还是数据分析 面经 17 面试岗位：携程 运营岗 ｜ 面试时间：2025 年 3 月 25 日...如果一篇精心准备的攻略数据很差，你会如何分析并优化? 你如何通过数据分析来指导内容运营策略? 请列举几个你认为做得好的旅游类竞争对手账号，并说明原因 如何通过内容运营提升用户的粘性和复访率?...面经 06 面试岗位：携程 运营岗 ｜ 面试时间：2025 年 9 月 18 日 请先做一个简短自我介绍，突出与你业务运营/数据分析/项目协同相关的经历 你对携程（Trip.com Group）整体业务版图...为什么 面经 08 面试岗位：携程 运营岗 ｜ 面试时间：2025 年 9 月 18 日 请先做一个简短自我介绍，突出与你产品运营/数据分析/活动或内容项目相关的实践 结合你对携程（Trip.com Group...说一次你在校园或实习中用数据推动方案被采纳的经历：背景、分析逻辑、结果 假如节前黄金周库存紧张，你如何设计一套“库存预警+动态补货”简易流程？,486,646661816,林小白zii,2026-09-17 15:28:42 UTC,2026-09-17 15:28:42 UTC,https://www.nowcoder.com/feed/main/detail/f951b3716bb44cc1a2b7fd588ab9dbbd,1676547,uuid:f951b3716bb44cc1a2b7fd588ab9dbbd
www.nowcoder.com.har,数据分析面经,2,8,POST,contentData,207,250,353157331225616384,f560b88294044376adb25bf72fe7a59e,拼多多数据分析面经,如何分析dau突然下降 7、你认为的对于电商而言最重要的一个指标 8、未来职业规划...一面 1、自我介绍 2、介绍实习所做内容及收获 3、两道sql 4、估算武汉市一共有多少红绿灯 5、ABtest和假设检验 6、,108,549311495,圈啊圈,2020-11-14 16:29:14 UTC,2020-11-19 08:30:12 UTC,https://www.nowcoder.com/feed/main/detail/f560b88294044376adb25bf72fe7a59e,564800,uuid:f560b88294044376adb25bf72fe7a59e
www.nowcoder.com.har,数据分析面经,2,9,POST,contentData,207,250,353157183468675072,2bcdaf2aa6d64a0d959e56aaa40960e7,美团-数据分析-面经,选做数据分析（3分钟） 4. 问了一个简单的编程题（3分钟） 5. ...深挖简历 大学和研究生期间的学生干部经历（5分钟） 实习期间参与的项目（10分钟） 为什么没留在京东转正（3分钟） 为什么没做开发，,103,873552841,Michael234,2020-10-20 07:06:24 UTC,2020-10-20 07:14:09 UTC,https://www.nowcoder.com/feed/main/detail/2bcdaf2aa6d64a0d959e56aaa40960e7,544307,uuid:2bcdaf2aa6d64a0d959e56aaa40960e7
www.nowcoder.com.har,数据分析面经,2,10,POST,contentData,207,250,353157041428570112,e119d3fce81342b7839a4797f679cace,贝壳 数据分析 面经,反问：数据分析岗是如何分配到各业务线的？ 马上进入业务二面： 问了下为什么来北京、为什么不留在香港、职业规划等等。,57,288998179,Echo张,2020-09-23 02:13:30 UTC,2020-09-23 02:13:53 UTC,https://www.nowcoder.com/feed/main/detail/e119d3fce81342b7839a4797f679cace,521769,uuid:e119d3fce81342b7839a4797f679cace
